City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,uturoa,-16.7333,-151.4333,25.82,72,8,6.19,PF,1697304701
83,magadan,59.5667,150.8,-1.77,73,27,2.68,RU,1697304701
84,jau,-22.2964,-48.5578,29.03,50,64,5.83,BR,1697304702
85,saint-pierre,-21.3393,55.4781,23.82,73,100,3.09,RE,1697304702
86,college,64.8569,-147.8028,-1.17,87,100,0.0,US,1697304526
87,touros,-5.1989,-35.4608,29.07,61,9,7.85,BR,1697304702
88,cururupu,-1.8283,-44.8683,30.64,57,64,3.48,BR,1697304703
89,sydney mines,46.2367,-60.2177,14.39,89,100,8.23,CA,1697304703
90,kuta,-8.7233,115.1723,26.97,88,20,3.13,ID,1697304703
91,thinadhoo,0.5333,72.9333,27.67,72,6,2.74,MV,1697304703
92,mamuju,-2.6748,118.8885,26.54,87,100,1.78,ID,1697304704
93,keflavik,64.0049,-22.5624,4.95,75,75,5.14,IS,1697304408
94,conceicao da barra,-18.5933,-39.7322,28.81,58,100,3.87,BR,1697304704
95,vila franca do campo,37.7167,-25.4333,23.82,99,47,5.16,PT,1697304503
96,georgetown,5.4112,100.3354,27.23,92,40,2.57,MY,1697304519
97,antonio enes,-16.2325,39.9086,26.94,77,1,7.63,MZ,1697304694
98,suva,-18.1416,178.4415,23.71,94,75,2.57,FJ,1697304705
99,papao,-17.75,-149.55,25.82,74,63,5.85,PF,1697304705
100,coxen hole,16.3244,-86.5366,31.6,79,20,2.06,HN,1697304706
101,talnakh,69.4865,88.3972,1.23,92,99,3.01,RU,1697304706
102,villa gesell,-37.2639,-56.973,14.63,64,30,7.03,AR,1697304706
103,chadan,51.2833,91.5833,7.47,69,100,1.39,RU,1697304706
104,chom bueng,13.62,99.5917,23.82,93,99,1.65,TH,1697304707
105,tolanaro,-25.0319,46.9987,24.04,83,20,1.03,MG,1697304707
106,khandyga,62.6667,135.6,-12.47,98,100,0.78,RU,1697304707
107,ilulissat,69.2167,-51.1,-1.99,80,100,7.2,GL,1697304708
108,margaret river,-33.95,115.0667,12.56,83,36,5.74,AU,1697304708
109,qaqortoq,60.7167,-46.0333,6.43,50,65,2.54,GL,1697304708
110,vadso,70.0744,29.7487,1.09,86,100,7.72,NO,1697304708
111,port lincoln,-34.7333,135.8667,13.63,71,99,4.88,AU,1697304708
112,ushuaia,-54.8,-68.3,7.81,61,0,11.32,AR,1697304709
113,nouadhibou,20.931,-17.0347,30.99,48,23,6.17,MR,1697304709
114,stanley,54.868,-1.6985,7.25,76,26,5.34,GB,1697304580
115,hami,42.8,93.45,17.89,23,26,0.73,CN,1697304709
116,kuala kedah,6.1,100.3,25.0,94,40,2.57,MY,1697304710
117,la passe,45.5549,-0.8967,17.13,60,40,4.56,FR,1697304710
118,turpan,42.9333,89.1667,21.5,28,76,1.15,CN,1697304710
119,cannonvale,-20.2833,148.7,21.66,82,66,2.3,AU,1697304711
120,udachny,66.4167,112.4,-10.64,90,5,1.43,RU,1697304711
121,nabire,-3.3667,135.4833,24.17,90,100,1.11,ID,1697304711
122,orshanka,56.9161,47.8933,8.81,84,100,6.04,RU,1697304712
